title,scored_by,popularity,members,premiered,genre
Juuni Kokuki,28791,1016,82925,Spring 2002,"Action, Adventure, Fantasy, Magic, Supernatural"
Diabolik Lovers OVA,9290,2721,19268,Spring 2013,"Harem, School, Vampire, Shoujo"
Ko Ko Ro,100,9817,423,Spring 2001,Hentai
Tuzki: Love Assassin,237,9602,482,Summer 2015,"Comedy, Romance"
Lupin III: Lupin Ikka Seizoroi,676,6950,1926,Spring 2002,"Adventure, Comedy, Seinen"
Neko Konogoro,18,10123,361,Summer 2016,Comedy
Ao no 6-gou,16149,1950,34469,Summer 2018,"Action, Adventure, Mecha, Military, Sci-Fi"
Ben-To Picture Drama,2806,3977,8265,Winter 2002,Comedy
Gasshin Sentai Mechander Robo,79,9869,412,Spring 1977,"Space, Mecha, Military, Mystery, Sci-Fi"
Seikai no Monshou Special,1050,6165,2758,Winter 2008,"Action, Military, Romance, Sci-Fi, Space"
Tegamibachi Gakuen,1911,4119,7644,Winter 2014,Comedy
Oniku Daisuki! Zeushi-kun: Suteki na Hamburger,22,12944,102,Winter 2008,Comedy
Soul Buster,4687,2963,16223,Fall 2016,"Action, Samurai"
Mobile Suit Gundam: Zeonic Front - Indignation of Zeon.,315,8025,1143,Fall 2004,"Mecha, Military"
Karakuri Circus,0,8300,986,Summer 2015,"Adventure, Mystery, Shounen"
Nanumu no Ie,7,13987,49,Spring 2015,"Drama, Historical"
Death Billiards,81162,637,132203,Spring 2000,"Game, Mystery, Psychological, Drama, Thriller"
Fake Style II,103,11594,174,,Music
Live On Cardliver Kakeru,97,9003,673,Fall 2008,"Game, Fantasy"
Gegege no Kitarou: Saikyou Youkai Gundan! Nippon Jouriku!!,60,10204,342,,"Adventure, Comedy, Fantasy, Horror, Supernatural"
Kokudo Oh,275,8277,994,,"Fantasy, Hentai"
Triage X,34990,1025,81824,Spring 2015,"Action, Adventure, Ecchi, Shounen"
Shinkai no Kantai: Submarine 707,120,9879,412,,"Action, Adventure, Military, Sci-Fi"
Densha Kamo Shirenai,395,9124,632,,Music
Ylion to Callysia,7,10399,313,Spring 2015,"Action, Fantasy"
Nanatsu no Bitoku,4722,2533,22001,Winter 2018,"Ecchi, Fantasy"
Metropolis (2009),129,9665,467,,
Hai to Gensou no Grimgar Special,16293,2146,29209,,Comedy
Medamayaki no Kimi Itsu Tsubusu?,161,8668,811,,"Comedy, Seinen"
Watashi no Ashinaga Ojisan Specials,37,11258,199,,"Comedy, Romance, School, Shoujo, Slice of Life"
Duel Masters Movie 1: Yami no Shiro no Maryuuou,333,8482,896,,"Adventure, Kids"
Bounty Dog: Getsumen no Ibu,953,6716,2147,,"Action, Sci-Fi, Space"
Hurricane Live! 2033,368,7924,1199,,Music
Densetsu no Yuusha no Densetsu: Iris Report,7177,3179,14153,,"Action, Adventure, Fantasy, Magic, Shounen"
Aisai Nikki,2749,4398,6450,,Hentai
Chikyuu Shoujo Arjuna,8111,2600,21106,Winter 2001,"Adventure, Drama, Magic, Sci-Fi"
Peeping Life 5.0ch,59,10532,290,,"Comedy, Slice of Life"
K-On!!,178001,183,322621,Spring 2010,"Comedy, Music, School, Slice of Life"
Haru wo Daite Ita,10761,2808,17989,,"Drama, Romance, Yaoi"
Pokemon 3D Adventure 2: Pikachu no Kaitei Daibouken,2588,4395,6463,,"Adventure, Comedy, Fantasy, Kids"
Soredemo Machi wa Mawatteiru,14763,1826,38419,Fall 2010,"Comedy, Slice of Life"
